                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.81068,                 1.3351,                0.53327,                  1.005,                0.86201,                0.88427,                0.91793,                0.70733,                0.86016,                0.87582,                0.91073,                0.64011,                0.87946,                 1.5762,                0.57626,                 1.0468,              0.0004358,              0.0004358,              0.0004358
                     82,                0.81103,                 1.3401,                0.53101,                 1.0066,                0.86587,                0.88442,                0.91901,                0.70698,                0.88994,                0.85215,                0.90799,                0.63757,                0.87412,                 1.5635,                0.57267,                  1.045,               0.000416,               0.000416,               0.000416
                     83,                0.79878,                 1.3264,                0.52589,                 1.0058,                0.88163,                 0.8634,                0.91869,                 0.7079,                 0.8763,                0.85617,                0.90827,                 0.6384,                0.88122,                 1.5811,                0.57567,                 1.0503,              0.0003962,              0.0003962,              0.0003962
                     84,                0.80119,                 1.3307,                0.52851,                 1.0055,                 0.8614,                0.88684,                0.91687,                 0.7064,                0.85993,                0.87602,                0.90746,                0.63801,                0.88487,                 1.5875,                0.57507,                 1.0592,              0.0003764,              0.0003764,              0.0003764
                     85,                0.78823,                 1.3017,                 0.5158,                 1.0005,                0.85701,                0.88693,                0.91544,                0.70377,                0.85013,                0.87981,                0.90494,                0.63364,                0.86662,                 1.5626,                0.58862,                   1.04,              0.0003566,              0.0003566,              0.0003566
                     86,                0.81142,                 1.3443,                0.52486,                 1.0052,                0.88027,                0.86642,                0.91682,                0.70265,                0.88127,                0.85409,                0.90894,                0.63238,                0.89057,                 1.6227,                0.57635,                 1.0635,              0.0003368,              0.0003368,              0.0003368
                     87,                0.78118,                 1.3065,                0.50778,                 1.0003,                0.88837,                0.86813,                0.91934,                0.71025,                0.87851,                0.86813,                0.91316,                0.64751,                0.87206,                 1.5495,                0.56615,                 1.0485,               0.000317,               0.000317,               0.000317
                     88,                0.80179,                 1.3075,                0.50994,                 1.0038,                0.86861,                0.87838,                0.91596,                0.70938,                0.86857,                0.87326,                 0.9086,                 0.6445,                0.86358,                 1.5728,                0.56737,                 1.0362,              0.0002972,              0.0002972,              0.0002972
                     89,                 0.7933,                 1.3156,                0.50564,                 1.0019,                0.87696,                0.87667,                0.91722,                0.70964,                0.86781,                0.87895,                0.91043,                0.64427,                0.86906,                 1.5696,                0.57728,                 1.0442,              0.0002774,              0.0002774,              0.0002774
                     90,                0.78516,                  1.322,                0.51289,                 1.0037,                 0.8726,                0.87789,                0.91437,                0.70961,                0.88001,                0.86386,                0.90716,                0.64074,                0.85934,                 1.5371,                0.57178,                 1.0417,              0.0002576,              0.0002576,              0.0002576
